Institution Name,Country Code,Country/Territory,Continent,Size Classification,Focus Classification,Research Classification,Age Band,Status,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations per Faculty Score,International Faculty Score,International Students Score,International Research Network Score,Employment Outcomes Score,Overall Score,Type
Massachusetts Institute of Technology (MIT) ,US,United States,North America,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,100.0,100.0,100.0,100.0,100.0,90.0,96.1,100.0,100.0,Public
University of Cambridge,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,100.0,100.0,100.0,92.3,100.0,96.3,99.5,100.0,98.8,Private
Stanford University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,100.0,100.0,100.0,99.9,99.8,60.3,96.3,100.0,98.5,Public
University of Oxford,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,100.0,100.0,100.0,90.0,98.8,98.4,99.9,100.0,98.4,Private
Harvard University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,100.0,100.0,99.4,100.0,76.9,66.9,100.0,100.0,97.6,Public
California Institute of Technology (Caltech),US,United States,North America,"Small (Fewer than 5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,96.5,87.1,100.0,100.0,99.8,85.1,73.0,98.8,97.0,Public
Imperial College London,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,98.3,99.7,99.5,86.5,100.0,100.0,98.1,88.8,97.0,Private
UCL,UK,United Kingdom,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,99.4,98.6,97.6,77.0,99.2,100.0,100.0,90.3,95.0,Private
ETH Zurich - Swiss Federal Institute of Technology,CH,Switzerland,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,98.6,91.3,74.2,99.2,100.0,98.0,96.2,91.1,93.6,Private
University of Chicago,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,99.2,92.2,92.9,86.8,81.6,76.0,89.6,98.2,93.2,Public
National University of Singapore (NUS),SG,Singapore,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,99.5,94.1,79.8,91.8,100.0,73.5,89.9,99.6,92.7,Private
Peking University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,99.3,96.5,87.3,96.7,57.1,36.9,77.5,91.4,91.3,Private
University of Pennsylvania,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,96.5,92.5,99.9,70.9,96.2,66.1,93.3,100.0,90.6,Public
Tsinghua University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,98.9,97.7,92.8,98.1,16.7,25.7,75.5,87.1,90.1,Private
The University of Edinburgh,UK,United Kingdom,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,98.0,97.2,81.1,70.1,98.9,99.5,98.7,54.3,89.5,Private
EPFL,CH,Switzerland,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,83.7,71.8,91.1,99.4,100.0,100.0,87.3,28.0,89.2,Private
Princeton University,US,United States,North America,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,99.9,98.9,72.6,100.0,26.0,62.2,78.5,100.0,89.2,Public
Yale University,US,United States,North America,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,99.9,100.0,100.0,51.5,89.2,77.3,92.0,100.0,89.0,Public
"Nanyang Technological University, Singapore (NTU)",SG,Singapore,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,90.4,76.1,83.2,94.1,100.0,74.1,89.6,84.6,88.4,Private
Cornell University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,98.3,91.4,62.2,99.3,63.9,55.3,90.0,99.5,87.2,Public
The University of Hong Kong,HK,Hong Kong SAR,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,97.4,62.9,84.2,72.6,100.0,98.7,81.1,99.0,87.0,Private
Columbia University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,99.7,98.1,100.0,47.2,47.6,94.6,98.9,99.8,86.7,Public
The University of Tokyo,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,100.0,99.7,91.9,73.3,10.4,27.8,89.5,97.8,85.3,Private
Johns Hopkins University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,87.9,47.2,100.0,87.3,63.6,82.9,97.7,95.3,85.1,Public
University of Michigan-Ann Arbor,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,98.5,91.3,88.9,62.5,71.2,33.1,96.3,96.0,84.4,Private
Université PSL,FR,France,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,New (Less than 10 years old),A,74.4,97.0,99.8,84.1,59.7,83.6,99.7,53.9,83.8,Private
"University of California, Berkeley (UCB)",US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,100.0,100.0,23.9,99.9,93.3,57.7,96.7,99.1,82.7,Private
The University of Manchester,UK,United Kingdom,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,95.1,97.7,63.1,59.0,93.4,99.4,98.9,66.4,82.3,Private
Seoul National University,KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,98.6,97.8,87.0,70.3,12.2,10.3,79.3,97.7,82.2,Private
The Australian National University,AU,Australia,Oceania,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,93.6,70.1,38.0,99.3,100.0,96.0,94.6,59.1,82.1,Private
McGill University,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,93.3,93.6,68.9,59.6,87.6,95.1,95.2,90.0,81.9,Private
Northwestern University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,84.4,71.9,98.3,84.2,40.5,38.8,89.0,98.4,81.8,Public
The University of Melbourne,AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,98.6,94.9,17.9,95.0,93.1,99.8,97.6,91.1,81.6,Private
Fudan University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,83.6,93.5,89.3,70.4,89.3,38.7,70.6,65.7,81.5,Private
University of Toronto,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,99.6,98.3,65.6,43.5,95.8,95.7,96.7,94.0,81.5,Private
Kyoto University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,98.6,98.9,94.8,54.2,14.9,22.1,85.5,56.9,81.4,Private
King's College London,UK,United Kingdom,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,88.8,83.2,74.5,60.5,98.6,100.0,99.3,56.9,81.2,Private
The Chinese University of Hong Kong (CUHK),HK,Hong Kong SAR,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,87.3,49.6,60.9,92.9,100.0,90.5,74.9,79.4,80.6,Private
New York University (NYU),US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,95.9,99.0,98.1,28.9,31.3,94.4,92.0,99.7,80.3,Public
The Hong Kong University of Science and Technology,HK,Hong Kong SAR,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,82.0,50.1,62.6,98.6,100.0,87.9,56.2,91.2,79.8,Private
The University of Sydney,AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,96.2,91.7,15.6,92.1,99.3,100.0,97.3,90.8,79.6,Private
KAIST - Korea Advanced Institute of Science & Technology,KR,South Korea,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,88.1,85.8,68.9,97.7,23.1,12.3,65.2,63.2,79.3,Private
Zhejiang University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,72.2,95.3,78.7,88.4,99.1,42.5,80.8,42.3,79.3,Private
"University of California, Los Angeles (UCLA)",US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,100.0,99.9,37.7,85.9,45.1,27.5,96.3,98.0,78.7,Private
The University of New South Wales (UNSW Sydney),AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,89.0,91.1,16.8,97.6,100.0,99.8,98.2,93.0,78.0,Private
Shanghai Jiao Tong University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,82.7,90.2,57.7,97.1,40.9,38.4,73.9,57.8,77.4,Private
University of British Columbia,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,98.0,95.4,56.5,42.1,89.0,74.9,97.9,75.2,77.0,Private
Institut Polytechnique de Paris,FR,France,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,New (Less than 10 years old),A,45.3,99.4,98.9,94.0,97.0,98.2,94.8,99.8,76.8,Private
Technical University of Munich,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,84.0,96.8,96.4,25.8,70.3,95.0,91.8,37.5,76.4,Private
Duke University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,86.1,79.8,100.0,41.2,20.2,55.1,95.5,98.6,74.8,Public
The University of Queensland,AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,86.6,75.6,20.2,90.8,100.0,100.0,94.6,41.8,74.8,Private
Carnegie Mellon University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,72.1,69.0,58.6,100.0,38.2,97.1,88.7,85.3,74.6,Public
"University of California, San Diego (UCSD)",US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,90.0,61.6,55.6,77.0,54.9,53.7,96.9,21.2,74.5,Private
City University of Hong Kong,HK,Hong Kong SAR,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,57.3,29.4,88.6,98.1,100.0,100.0,55.1,57.2,73.6,Private
Tokyo Institute of Technology (Tokyo Tech),JP,Japan,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,74.1,93.4,81.5,65.9,36.1,37.9,55.8,33.6,72.5,Private
The London School of Economics and Political Science (LSE),UK,United Kingdom,Europe,"Large (>=12,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Historic (100 years old and more),A,69.0,98.3,37.8,84.6,100.0,100.0,67.6,99.9,72.3,Private
Monash University,AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,87.6,80.8,11.2,79.3,100.0,100.0,95.1,56.8,71.6,Private
University of Amsterdam,NL,Netherlands,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,82.7,42.3,26.7,97.3,92.3,80.7,97.2,51.4,71.1,Private
Ludwig-Maximilians-Universität München,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,92.6,75.7,56.0,45.5,64.2,38.8,94.7,39.3,70.4,Private
Sorbonne University,FR,France,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,New (Less than 10 years old),A,90.0,41.7,40.6,86.3,28.3,54.7,99.6,60.9,70.1,Private
Delft University of Technology,NL,Netherlands,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,71.6,80.2,34.5,84.4,100.0,83.7,95.9,64.0,70.0,Private
University of Bristol,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,74.4,84.1,58.3,55.3,90.5,84.9,93.9,59.6,70.0,Private
Brown University,US,United States,North America,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,57.6,54.2,80.8,89.9,82.8,49.8,73.6,99.6,69.6,Public
The University of Warwick,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,71.8,89.3,43.1,63.1,98.1,99.2,93.6,62.0,69.1,Private
Ruprecht-Karls-Universität Heidelberg,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,78.7,40.3,99.8,41.1,51.3,47.2,95.2,22.8,69.0,Private
The Hong Kong Polytechnic University,HK,Hong Kong SAR,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,66.1,37.0,78.4,68.9,100.0,80.7,74.2,49.2,69.0,Private
Universidad de Buenos Aires (UBA),AR,Argentina,South America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,92.3,94.0,76.0,1.8,63.7,68.9,63.0,34.3,68.9,Private
Osaka University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,80.2,85.4,67.4,59.1,25.0,14.4,75.2,21.0,68.2,Private
